draft_round,draft_pick,team,player,pos,age,year_max,all_pros_first_team,pro_bowls,years_as_primary_starter,career_av,draft_av,g,pass_cmp,pass_att,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_td,rec,rec_yds,rec_td,tackles_solo,def_int,sacks,college_id,college_link
2,34,Los Angeles Chargers,Ladd McConkey,WR,22,2024,0,0,1,11,11,16,0,0,0,0,0,0,0,0,82,1149,7,,,,Georgia,College Stats
2,35,Atlanta Falcons,Ruke Orhorhoro,DT,22,2024,0,0,0,1,1,8,0,0,0,0,0,0,0,0,0,0,0,4,,,Clemson,College Stats
2,36,Washington Commanders,Jer'Zhan Newton,DL,22,2024,0,0,0,5,5,16,0,0,0,0,0,0,0,0,0,0,0,19,,2.0,Illinois,College Stats
2,37,New England Patriots,Ja'Lynn Polk,WR,22,2024,0,0,1,1,1,15,0,0,0,0,0,1,0,0,12,87,2,,,,Washington,College Stats
2,38,Tennessee Titans,T'Vondre Sweat,DL,23,2024,0,0,1,7,7,17,0,0,0,0,0,0,0,0,0,0,0,22,,1.0,Texas,College Stats
2,39,Los Angeles Rams,Braden Fiske,DL,24,2024,0,0,0,5,5,17,0,0,0,0,0,0,0,0,0,0,0,20,,8.5,Florida St.,College Stats
2,40,Philadelphia Eagles,Cooper DeJean,DB,21,2024,0,0,0,5,5,16,0,0,0,0,0,0,0,0,0,0,0,38,,0.5,Iowa,College Stats
2,41,New Orleans Saints,Kool-Aid McKinstry,DB,21,2024,0,0,0,3,3,15,0,0,0,0,0,0,0,0,0,0,0,32,,,Alabama,College Stats
2,42,Houston Texans,Kamari Lassiter,DB,21,2024,0,0,1,5,5,14,0,0,0,0,0,0,0,0,0,0,0,42,3,,Georgia,College Stats
2,43,Arizona Cardinals,Max Melton,DB,22,2024,0,0,0,2,2,17,0,0,0,0,0,0,0,0,0,0,0,36,,,Rutgers,College Stats
2,44,Las Vegas Raiders,Jackson Powers-Johnson,OL,21,2024,0,0,1,4,4,15,0,0,0,0,0,0,0,0,0,0,0,,,,Oregon,College Stats
2,45,Green Bay Packers,Edgerrin Cooper,LB,22,2024,0,0,0,4,4,14,0,0,0,0,0,0,0,0,0,0,0,57,1,3.5,Texas A&M,College Stats
2,46,Carolina Panthers,Jonathon Brooks,RB,21,2024,0,0,0,0,0,3,0,0,0,0,0,9,22,0,3,23,0,,,,Texas,College Stats
2,47,New York Giants,Tyler Nubin,DB,23,2024,0,0,1,5,5,13,0,0,0,0,0,0,0,0,0,0,0,57,,,Minnesota,College Stats
2,48,Jacksonville Jaguars,Maason Smith,DT,21,2024,0,0,0,2,2,11,0,0,0,0,0,0,0,0,0,0,0,10,,3.0,LSU,College Stats
2,49,Cincinnati Bengals,Kris Jenkins,DL,22,2024,0,0,0,4,4,15,0,0,0,0,0,0,0,0,0,0,0,10,,3.0,Michigan,College Stats
